Sentiment,Location,DateTime
"I loved the strawberry sundae. Very fresh.","New York","2023-01-01T10:00:00"
"Cozy interior and friendly service. Will return.","London","2023-01-02T10:10:00"
"Had a quick cone to go. Tasted great.","Tokyo","2023-01-03T10:20:00"
"Spotless floors and yummy waffles. Impressed.","Paris","2023-01-04T10:30:00"
"I enjoyed the mint chocolate. Very refreshing.","Sydney","2023-01-05T10:40:00"
"Hot chocolate was comforting. Perfect for winter.","Toronto","2023-01-06T10:50:00"
"Kids loved the rainbow sprinkles. Neat place.","Berlin","2023-01-07T11:00:00"
"Staff seemed hurried. Still ice cream was good.","Madrid","2023-01-08T11:10:00"
"Tried the sorbet. Clean flavors and bright vibe.","Rome","2023-01-09T11:20:00"
"Relaxing spot. The cappuccino was surprisingly good.","Chicago","2023-01-10T11:30:00"
"Took a milkshake home. Refreshingly sweet.","Los Angeles","2023-01-11T11:40:00"
"Indoor seating felt cramped. Taste was okay.","Seoul","2023-01-12T11:50:00"
"Gelato was top notch. Service was decent.","Beijing","2023-01-13T12:00:00"
"Ordered a latte. It paired well with the vanilla scoop.","Singapore","2023-01-14T12:10:00"
"Had a waffle cone. Nice crisp texture.","Dubai","2023-01-15T12:20:00"
"They ran out of napkins. Needs better upkeep.","Mexico City","2023-01-16T12:30:00"
"Loved the decor. The chocolate flavor was rich.","Barcelona","2023-01-17T12:40:00"
"Tables were sticky. But the sundae was delicious.","Amsterdam","2023-01-18T12:50:00"
"Mochaccino was average. The cone saved the day.","Vienna","2023-01-19T13:00:00"
"I found the place clean. Service was prompt.","Prague","2023-01-20T13:10:00"
"The caramel drizzle was divine. Quick service too.","Mumbai","2023-01-21T13:20:00"
"Nice place for a family outing. Everyone was happy.","Hong Kong","2023-01-22T13:30:00"
"Flavor selection was vast. Lines were short.","Sao Paulo","2023-01-23T13:40:00"
"I tried the dairy-free option. Refreshing taste.","Buenos Aires","2023-01-24T13:50:00"
"Cookies and cream was scrumptious. Will be back.","Vancouver","2023-01-25T14:00:00"
"Grabbed a cone to go. Quick and tasty.","New York","2023-02-01T10:00:00"
"I loved their neat counters. The latte was perfect.","London","2023-02-02T10:10:00"
"Flavors were unique. Tried lavender scoop.","Tokyo","2023-02-03T10:20:00"
"Bright ambiance. The hot tea was soothing.","Paris","2023-02-04T10:30:00"
"Messy tables. But ice cream was worth it.","Sydney","2023-02-05T10:40:00"
"The chocolate sauce was delightful. Will come again.","Toronto","2023-02-06T10:50:00"
"Tried a banana split. Absolutely amazing.","Berlin","2023-02-07T11:00:00"
"Kids had a blast. Staff was kind.","Madrid","2023-02-08T11:10:00"
"Line was long. However service was fast.","Rome","2023-02-09T11:20:00"
"Amazing espresso. Waffle cone was a dream.","Chicago","2023-02-10T11:30:00"
"Picked up a sundae. Splendid treat.","Los Angeles","2023-02-11T11:40:00"
"Space felt a bit crowded. Liked the toppings.","Seoul","2023-02-12T11:50:00"
"Loved their cleanliness. Tasted fresh blueberry.","Beijing","2023-02-13T12:00:00"
"The new mocha flavor rocks. Highly recommended.","Singapore","2023-02-14T12:10:00"
"Clean restroom. Ice cream was smooth.","Dubai","2023-02-15T12:20:00"
"Mint chip had strong flavor. Loved the crunch.","Mexico City","2023-02-16T12:30:00"
"Wish they had more seating. The shake was good.","Barcelona","2023-02-17T12:40:00"
"Friendly greeting at the door. Yummy cone.","Amsterdam","2023-02-18T12:50:00"
"Fell in love with the pistachio. Pleasant decor.","Vienna","2023-02-19T13:00:00"
"I noticed dusty corners. But flavor was nice.","Prague","2023-02-20T13:10:00"
"Kids tried strawberry swirl. They were delighted.","Mumbai","2023-02-21T13:20:00"
"Taste was decent. The place could be cleaner.","Hong Kong","2023-02-22T13:30:00"
"Ordered a hot cocoa. Warm and thick.","Sao Paulo","2023-02-23T13:40:00"
"Crowded but efficient. Scoop was heavenly.","Buenos Aires","2023-02-24T13:50:00"
"Nice music. The waffle smelled fantastic.","Vancouver","2023-02-25T14:00:00"
"Ordered two scoops. Both were yummy.","New York","2023-03-01T10:00:00"
"The hazelnut flavor was outstanding. Highly recommended.","London","2023-03-02T10:10:00"
"They forgot my topping. Service needs improvement.","Tokyo","2023-03-03T10:20:00"
"Polite staff. Cozy chairs.","Paris","2023-03-04T10:30:00"
"Loved the fresh fruit toppings. Vibrant taste.","Sydney","2023-03-05T10:40:00"
"Ice cream texture was creamy. Loved it.","Toronto","2023-03-06T10:50:00"
"Hot coffee was decent. The place was tidy.","Berlin","2023-03-07T11:00:00"
"The menu had many options. Tried chocolate fudge.","Madrid","2023-03-08T11:10:00"
"Music was too loud. Could barely chat.","Rome","2023-03-09T11:20:00"
"Staff recommended the mint swirl. Good pick.","Chicago","2023-03-10T11:30:00"
"Took a hot chocolate to go. Rich flavor.","Los Angeles","2023-03-11T11:40:00"
"Limited seating outside. Great view though.","Seoul","2023-03-12T11:50:00"
"Waffle cones looked stale. But mine tasted okay.","Beijing","2023-03-13T12:00:00"
"Kids enjoyed the candy toppings. Clean counters.","Singapore","2023-03-14T12:10:00"
"Service was slow. The cappuccino was still nice.","Dubai","2023-03-15T12:20:00"
"Vanilla bean scoop was lovely. Subtle sweetness.","Mexico City","2023-03-16T12:30:00"
"No napkins around. Mildly irritating.","Barcelona","2023-03-17T12:40:00"
"Bright interior. The place smelled nice.","Amsterdam","2023-03-18T12:50:00"
"Recommended by a friend. Satisfied overall.","Vienna","2023-03-19T13:00:00"
"Friendly barista. Ice cream was top quality.","Prague","2023-03-20T13:10:00"
"The waffle was soggy. Disappointing.","Mumbai","2023-03-21T13:20:00"
"Picked up a box of popsicles. Great variety.","Hong Kong","2023-03-22T13:30:00"
"Tried the soy-based flavor. Surprisingly good.","Sao Paulo","2023-03-23T13:40:00"
"Limited flavors today. Still enjoyed my scoop.","Buenos Aires","2023-03-24T13:50:00"
"The place was spotless. Staff was cheerful.","Vancouver","2023-03-25T14:00:00"
"Cheerful vibe. Loved the colorful decor.","New York","2023-04-01T10:00:00"
"Grabbed a coffee. Quick service at the counter.","London","2023-04-02T10:10:00"
"Wanted a sundae. Portions seemed small.","Tokyo","2023-04-03T10:20:00"
"Kids spilled sprinkles. Staff helped clean up.","Paris","2023-04-04T10:30:00"
